Date,Symbol,Open,High,Low,Close,Volume,Adj_Close,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,PE_Ratio,EPS,Revenue_Growth,Debt_Equity,Market_Cap,Sector_Performance,VIX,News_Sentiment,Social_Mentions,Next_Day_Return,Return_5D,Direction
2020-01-01,AAPL,150.23,152.45,149.87,151.34,45620000,151.34,150.12,149.85,150.45,149.78,52.3,0.67,0.45,153.2,147.8,23.5,6.43,0.056,0.34,2.1e+12,0.023,18.45,0.65,1250,0.012,0.034,1
2020-01-02,AAPL,151.46,153.67,150.98,152.89,52340000,152.89,150.34,149.92,150.89,149.95,56.7,0.94,0.52,153.8,148.1,23.7,6.43,0.056,0.34,2.12e+12,0.031,17.89,0.72,1340,-0.008,0.045,0
2020-01-03,AAPL,152.81,154.12,151.45,153.21,48970000,153.21,150.67,150.12,151.23,150.34,58.1,1.15,0.67,154.1,148.5,23.8,6.43,0.056,0.34,2.13e+12,0.015,16.78,0.68,1180,0.019,0.067,1
2020-01-04,AAPL,153.40,155.89,152.34,154.67,55680000,154.67,151.02,150.34,151.78,150.89,61.2,1.42,0.89,154.7,149.2,24.1,6.43,0.056,0.34,2.15e+12,0.042,15.92,0.74,1420,-0.024,0.078,0
2020-01-05,AAPL,154.30,156.23,153.78,155.34,41230000,155.34,151.45,150.67,152.34,151.23,63.4,1.68,1.12,155.2,149.8,24.2,6.43,0.056,0.34,2.16e+12,0.028,14.56,0.71,1290,0.032,0.089,1
2020-01-06,AAPL,155.70,157.45,154.12,156.78,49850000,156.78,151.89,150.98,152.89,151.67,65.8,1.94,1.34,155.9,150.3,24.4,6.43,0.056,0.34,2.18e+12,0.036,13.87,0.78,1380,-0.015,0.112,0
2020-01-07,AAPL,156.45,158.90,155.67,157.23,53420000,157.23,152.34,151.23,153.45,152.12,67.1,2.18,1.56,156.5,150.9,24.5,6.43,0.056,0.34,2.19e+12,0.021,12.94,0.75,1320,0.028,0.098,1
2020-01-08,AAPL,157.50,159.12,156.34,158.67,46780000,158.67,152.78,151.56,153.98,152.67,69.3,2.41,1.78,157.1,151.4,24.7,6.43,0.056,0.34,2.21e+12,0.039,11.73,0.82,1460,-0.021,0.125,0
2020-01-09,AAPL,158.34,160.45,157.89,159.34,50120000,159.34,153.23,151.89,154.56,153.23,71.2,2.64,2.01,157.8,151.9,24.8,6.43,0.056,0.34,2.22e+12,0.045,10.68,0.79,1390,0.021,0.089,1
2020-01-10,AAPL,159.55,161.23,158.45,160.12,48560000,160.12,153.67,152.34,155.12,153.78,73.1,2.87,2.23,158.4,152.5,24.9,6.43,0.056,0.34,2.23e+12,0.033,9.85,0.76,1340,0.018,0.156,1
